Date,avg_Temperature,min_Temperature,max_Temperature,avg_lower_bound,avg_upper_bound
2025-01-01,259.3168320952993,250.34492274950722,270.37286640797015,259.1134727977481,259.52315829162086
2025-01-02,278.6347295317042,252.82732874936158,302.0611871703749,278.4266254576831,278.84068617450185
2025-01-03,235.76794053686197,168.9760228520279,306.974377995608,235.56234736702552,235.9770981439024
2025-01-04,288.1015669124103,118.00184701461977,478.02877519808175,287.8954327036469,288.3047900413286
2025-01-05,233.7903422127986,-286.32008853723426,670.0362644658464,233.5797373918897,233.99704508466826
2025-01-06,8.703273561087576,-1093.9270098580794,1470.0505997136568,8.498155608605677,8.912934622690605
2025-01-07,830.2028465663057,-3443.016600453405,4250.6919277384,829.9966581322957,830.4107484566694
2025-01-08,-3550.2446822329657,-14910.731485212322,9189.983924152853,-3550.4542208472635,-3550.040225115756
2025-01-09,7349.867926956877,-30264.445169870418,40570.56700163073,7349.656369064082,7350.073942625943
2025-01-10,-35249.1389768883,-143144.78297036467,77573.20448975914,-35249.34684769387,-35248.93353650161
2025-01-11,60721.624313466025,-273305.5205705164,373605.27949591476,60721.41751621512,60721.82965300687
2025-01-12,-290302.07672282285,-1271943.1216643383,698131.5966675744,-290302.28478395107,-290301.8685409887
2025-01-13,459860.74937678484,-2418518.6252236706,3214640.7139013456,459860.54284600256,459860.95956439635
2025-01-14,-2285046.451271528,-10896215.239770314,6118052.45657143,-2285046.6611921634,-2285046.2431976907
2025-01-15,3364364.6946075107,-21517331.55299087,27738019.6411463,3364364.4880922404,3364364.9010152747
2025-01-16,-17834874.369019333,-93903520.9521015,55005408.496397935,-17834874.57537533,-17834874.160732552
2025-01-17,24156002.47762732,-188017848.32183632,236128345.28185594,24156002.270175453,24156002.68594941
2025-01-18,-138522381.34746677,-790821266.1526265,473626874.1289316,-138522381.5553263,-138522381.13884017
2025-01-19,168472371.44880775,-1622150130.1995628,2014410603.2961185,168472371.24243954,168472371.6522195
2025-01-20,-1063764552.4707193,-6895659347.460408,4137322867.4733953,-1063764552.6783123,-1063764552.2634468
2025-01-21,1096150021.7438462,-14120483404.001556,17424073631.538166,1096150021.535787,1096150021.9537885
2025-01-22,-7994387446.45548,-58723641733.421715,35605828560.7458,-7994387446.661288,-7994387446.248366
2025-01-23,6186780535.66829,-119734330283.60736,147393044548.83273,6186780535.460255,6186780535.876918
2025-01-24,-58059047746.57461,-509522850262.58246,305648507819.9086,-58059047746.78345,-58059047746.36617
2025-01-25,23100850433.055317,-1048961256391.216,1293329905825.913,23100850432.848072,23100850433.264668
2025-01-26,-402531981820.8919,-4387868654623.741,2653651700171.3604,-402531981821.10156,-402531981820.68555
2025-01-27,-73453462990.48308,-8951096771875.4,11013768959363.764,-73453462990.69304,-73453462990.27246
2025-01-28,-2596524137687.371,-36824593714343.34,22469254886802.867,-2596524137687.5815,-2596524137687.1606
2025-01-29,-3016759631350.488,-77688615184785.64,90997122372184.67,-3016759631350.6973,-3016759631350.278
2025-01-30,-14896954962151.85,-301105541539477.75,197230033696723.3,-14896954962152.057,-14896954962151.64
2025-01-31,-46352452031257.47,-669068994120203.4,728164230684397.0,-46352452031257.68,-46352452031257.26
2025-02-01,-65587636014746.25,-2393296702757415.5,1679428620624245.8,-65587636014746.48,-65587636014746.02
2025-02-02,-566040058409885.5,-5740378094266422.0,5622532120901920.0,-566040058409885.6,-566040058409885.4
2025-02-03,-54793721019519.5,-1.8429724681886412e+16,1.4618188219668824e+16,-54793721019519.5,-54793721019519.5
2025-02-04,-6215510327483485.0,-4.9884360430423784e+16,4.155175149741418e+16,-6215510327483485.0,-6215510327483485.0
2025-02-05,3539457497709655.5,-1.3659810099476322e+17,1.2574921202883726e+17,3539457497709655.5,3539457497709655.5
2025-02-06,-6.379671980825558e+16,-4.229506618859202e+17,2.8997194072208026e+17,-6.379671980825558e+16,-6.379671980825558e+16
2025-02-07,6.1218855710821304e+16,-9.632139218195946e+17,1.0797963637416515e+18,6.1218855710821304e+16,6.1218855710821304e+16
2025-02-08,-6.254680880865361e+17,-3.7085030733052436e+18,2.2277656606847068e+18,-6.254680880865361e+17,-6.254680880865361e+17
2025-02-09,7.497943290361989e+17,-7.602525237759325e+18,9.384273940396214e+18,7.497943290361989e+17,7.497943290361989e+17
2025-02-10,-5.917881188662013e+18,-3.1670531244145017e+19,1.9165171893632942e+19,-5.917881188662013e+18,-5.917881188662013e+18
